Wavelength,Intensity
468.20661513255868,602.20001220703125
468.21517580887445,603
468.22373641166018,601.79998779296875
468.232296940907,603.20001220703125
468.240857396606,600.20001220703125
468.24941777874835,601
468.25797808732517,603
468.26653832232745,599.79998779296875
468.27509848374655,603.20001220703125
468.28365857157348,600.79998779296875
468.29221858579922,600.79998779296875
468.30077852641517,598.5999755859375
468.30933839341225,599.5999755859375
468.31789818678169,597.79998779296875
468.32645790651446,601.79998779296875
468.33501755260193,599.20001220703125
468.34357712503493,602
468.35213662380488,600.20001220703125
468.3606960489027,599
468.36925540031967,599.4000244140625
468.37781467804678,601.5999755859375
468.38637388207519,600.5999755859375
468.39493301239605,600.20001220703125
468.40349206900049,599.4000244140625
468.41205105187959,602.20001220703125
468.42060996102458,600.79998779296875
468.4291687964265,602
468.43772755807646,601.5999755859375
468.44628624596567,599.5999755859375
468.45484486008513,600.4000244140625
468.4634034004261,600.20001220703125
468.47196186697965,601
468.48052025973692,599.79998779296875
468.489078578689,601.79998779296875
468.49763682382707,599.20001220703125
468.50619499514221,598.4000244140625
468.5147530926256,598.79998779296875
468.52331111626825,597.79998779296875
468.53186906606152,600.4000244140625
468.54042694199632,600.20001220703125
468.54898474406389,605.5999755859375
468.55754247225525,600.4000244140625
468.56610012656165,598.20001220703125
468.57465770697416,603.5999755859375
468.58321521348392,599.5999755859375
468.59177264608212,598.5999755859375
468.60033000475977,601.20001220703125
468.60888728950806,602.20001220703125
468.61744450031807,603.4000244140625
468.62600163718105,603.5999755859375
468.63455870008806,601.4000244140625
468.64311568903025,599.20001220703125
468.65167260399869,600.79998779296875
468.66022944498462,601.79998779296875
468.668786211979,600.5999755859375
468.6773429049731,598.4000244140625
468.68589952395808,597.4000244140625
468.694456068925,601
468.70301253986486,599.4000244140625
468.711568936769,601
468.7201252596285,602
468.72868150843448,601.5999755859375
468.73723768317814,600.4000244140625
468.74579378385033,603
468.75434981044259,601.4000244140625
468.76290576294576,602
468.77146164135104,602.5999755859375
468.78001744564966,601.20001220703125
468.78857317583265,599
468.7971288318912,600.5999755859375
468.80568441381632,599.5999755859375
468.81423992159938,599.4000244140625
468.82279535523128,601.4000244140625
468.83135071470326,601.79998779296875
468.83990600000641,602
468.84846121113196,602.20001220703125
468.85701634807094,600.20001220703125
468.86557141081454,601
468.87412639935388,598.79998779296875
468.88268131368011,598.79998779296875
468.89123615378429,603.5999755859375
468.89979091965768,603.4000244140625
468.90834561129134,599.79998779296875
468.91690022867635,600.20001220703125
468.925454771804,602.20001220703125
468.93400924066532,598.79998779296875
468.94256363525142,604.4000244140625
468.95111795555351,602.4000244140625
468.95967220156263,599.4000244140625
468.96822637327006,599.5999755859375
468.97678047066677,600
468.98533449374406,604.4000244140625
468.99388844249296,599
469.00244231690459,600
469.01099611697026,604.79998779296875
469.01954984268093,601
469.02810349402768,601.5999755859375
469.03665707100186,604.5999755859375
469.04521057359449,603.79998779296875
469.05376400179671,600.79998779296875
469.0623173555997,601.4000244140625
469.07087063499455,605
469.07942383997243,600.20001220703125
469.08797697052444,602
469.0965300266418,599
469.10508300831549,602.4000244140625
469.11363591553686,599.4000244140625
469.12218874829688,600.4000244140625
469.13074150658673,602.20001220703125
469.13929419039761,599.79998779296875
469.14784679972058,598.79998779296875
469.1563993345469,603.5999755859375
469.16495179486753,599.4000244140625
469.17350418067377,598.79998779296875
469.1820564919567,601.20001220703125
469.19060872870745,601.4000244140625
469.19916089091714,600.79998779296875
469.207712978577,601.20001220703125
469.21626499167803,600.20001220703125
469.22481693021149,598.4000244140625
469.23336879416848,600.79998779296875
469.24192058354021,601.20001220703125
469.25047229831773,601.5999755859375
469.25902393849219,600
469.26757550405478,602.5999755859375
469.2761269949965,600.4000244140625
469.28467841130873,600
469.29322975298243,598
469.30178102000883,601
469.310332212379,598
469.31888333008419,601.20001220703125
469.32743437311541,600.79998779296875
469.33598534146392,602.20001220703125
469.34453623512087,602.20001220703125
469.35308705407721,603.20001220703125
469.3616377983243,601.4000244140625
469.37018846785321,601
469.37873906265509,600.79998779296875
